filial	dt	sku_norm	linha	qtd	valor	margem	custo	vendedor	cliente	ped_app	categorias	sub_categorias
67	18/12/2019	cel3	CL	1	3840	309,5499878	3401,600098	V87387648	O040524	1	CL - SMARTPHONE	CL - PREMIUM
19	29/11/2019	cel5	CL	1	3399	377,8399963	3331,560059	V87318703	O550502	1	CL - SMARTPHONE	CL - PREMIUM
33	30/11/2019	lavaseca210kg	LB	1	2680,870117	89,30000305	2704,709961	V1061187	M208821	1	LB - LAVANDERIA	LB - LAVA & SECA
33	10/12/2019	lavaseca110kg	LB	1	2678,310059	235,2299957	2694,179932	V87387411	M000520	0	LB - LAVANDERIA	LB - LAVA & SECA
92	21/11/2019	cel3	CL	1	3926	584,8099976	3331,560059	V110846	H4308101	1	CL - SMARTPHONE	CL - PREMIUM
10	05/01/2020	cel5	CL	1	3234,26001	418,5	2989,449951	V1087181	H553224	1	CL - SMARTPHONE	CL - PREMIUM
33	30/11/2019	lavaseca210kg	LB	1	2680	78,75	2704,709961	V1061187	H4811584	1	LB - LAVANDERIA	LB - LAVA & SECA
33	04/01/2020	lavaseca110kg	LB	1	2747,199951	302,6400146	2704,709961	V110641	K451203	1	LB - LAVANDERIA	LB - LAVA & SECA
14	24/12/2019	cel3	CL	1	3199	467,2200012	2704,040039	V87387118	L412814	1	CL - SMARTPHONE	CL - PREMIUM
14	30/11/2019	cel5	CL	1	3199	369,9400024	2744,47998	V8730811	K81240081	1	CL - SMARTPHONE	CL - PREMIUM
33	30/11/2019	lavaseca210kg	LB	1	2678,310059	302,0700073	2704,709961	V87311873	H308000	1	LB - LAVANDERIA	LB - LAVA & SECA
25	02/12/2019	lavaseca110kg	LB	1	2678,310059	384,8599854	2716,72998	V000186	L583405	0	LB - LAVANDERIA	LB - LAVA & SECA
14	24/12/2019	cel3	CL	1	2899	53,02000046	2704,040039	V103855	H532220	1	CL - SMARTPHONE	CL - PREMIUM
14	03/12/2019	cel5	CL	1	3199	-56,59999847	2744,47998	V000186	Y515418	0	CL - SMARTPHONE	CL - PREMIUM
33	30/11/2019	lavaseca210kg	LB	1	2678,310059	302,0700073	2704,709961	V87314873	M8815521	1	LB - LAVANDERIA	LB - LAVA & SECA
25	02/11/2019	lavaseca110kg	LB	1	2841,969971	143,9199982	2716,719971	V87387156	M3181215	1	LB - LAVANDERIA	LB - LAVA & SECA
14	25/11/2019	cel3	CL	1	3499,810059	490,4700012	2744,669922	V000186	H4300810	0	CL - SMARTPHONE	CL - PREMIUM
14	03/12/2019	cel5	CL	1	3199	-24,61000061	2744,47998	V000186	H385511	0	CL - SMARTPHONE	CL - PREMIUM
97	01/12/2019	lavaseca210kg	LB	1	2632,340088	233,8800049	1952,410034	V1187468	H125025	0	LB - LAVANDERIA	LB - LAVA & SECA
33	24/11/2019	lavaseca110kg	LB	1	2774	387,7099915	2584,48999	V000186	K355023	0	LB - LAVANDERIA	LB - LAVA & SECA
5D	29/11/2019	cel3	CL	1	3402,02002	439,3099976	3331,560059	V8731338	N500581	1	CL - SMARTPHONE	CL - PREMIUM
14	03/12/2019	cel5	CL	1	3199	-56,59999847	2744,47998	V000186	H453885	0	CL - SMARTPHONE	CL - PREMIUM
33	20/11/2019	lavaseca210kg	LB	1	2775	314,5799866	2633,870117	V1048387	Y388130	1	LB - LAVANDERIA	LB - LAVA & SECA
33	21/12/2019	lavaseca110kg	LB	1	2849	306,8099976	2704,709961	V8731516	M085411	1	LB - LAVANDERIA	LB - LAVA & SECA
6A	14/12/2019	cel3	CL	1	3821,709961	534,0700073	3227,959961	V1065871	B220540	1	CL - SMARTPHONE	CL - PREMIUM
14	03/12/2019	cel5	CL	1	3199	-120,5800018	2744,47998	V000186	H45008181	0	CL - SMARTPHONE	CL - PREMIUM
66	04/12/2019	lavaseca210kg	LB	1	2965,370117	339,4599915	1948,23999	V8731388	N1818800	1	LB - LAVANDERIA	LB - LAVA & SECA
25	30/12/2019	lavaseca110kg	LB	1	2849,129883	-131,1399994	2716,72998	V000186	H535351	0	LB - LAVANDERIA	LB - LAVA & SECA
12	29/11/2019	cel3	CL	1	3400	422,3999939	3331,560059	V873187871	W08141813	0	CL - SMARTPHONE	CL - PREMIUM
14	03/12/2019	cel5	CL	2	6398	379,0299988	5488,959961	V000186	M0408281	0	CL - SMARTPHONE	CL - PREMIUM
33	12/11/2019	lavaseca210kg	LB	1	3061,060059	583,0300293	2584,48999	V8731148	N2542581	0	LB - LAVANDERIA	LB - LAVA & SECA
61	30/11/2019	lavaseca110kg	LB	1	2599	224,9400024	2614,050049	V106380	H4812050	0	LB - LAVANDERIA	LB - LAVA & SECA
1	29/11/2019	cel3	CL	1	3315,790039	363,6000061	3331,560059	V103416	I214323	1	CL - SMARTPHONE	CL - PREMIUM
14	25/11/2019	cel5	CL	1	3199	488,3599854	2744,47998	V000186	O0181513	0	CL - SMARTPHONE	CL - PREMIUM
83	04/12/2019	lavaseca210kg	LB	1	2599	-343,7200012	2702,310059	V111011	Z354180	0	LB - LAVANDERIA	LB - LAVA & SECA
25	27/11/2019	lavaseca110kg	LB	1	2699	331,480011	2716,72998	V111114	N353203	0	LB - LAVANDERIA	LB - LAVA & SECA
42	29/11/2019	cel3	CL	1	3399	502,9400024	3331,560059	V106153	B150300	0	CL - SMARTPHONE	CL - PREMIUM
14	25/11/2019	cel5	CL	1	3374,100098	443,0799866	2744,47998	V000186	X538552	0	CL - SMARTPHONE	CL - PREMIUM
87	06/12/2019	lavaseca210kg	LB	1	2678,310059	556,5800171	1918,680054	V11878760	Y0813538	0	LB - LAVANDERIA	LB - LAVA & SECA
87	27/11/2019	lavaseca110kg	LB	1	2774	390,0100098	1918,579956	V000186	B330824	0	LB - LAVANDERIA	LB - LAVA & SECA
14	19/11/2019	cel3	CL	1	3599,810059	724,7399902	2744,659912	V103855	H42810815	1	CL - SMARTPHONE	CL - PREMIUM
